Fund name,Performance Date,Factor,Class,YTD,1 yr,3 yr,5yr,10 yr,rank_YTD,rank_1Y,rank_3Y,rank_5Y,rank_10Y,consistenct_score,consistency_score
PUBLIC INDUSTRY GROWTH,46191.0,8,LOW,13.11,25.48,13.92,5.34,6.27,59.0,57.0,52.0,60.0,36.0,264.0,264.0
PB GROWTH SEQUEL,46191.0,11.2,MOD,9.13,21.42,15.77,7.04,5.49,81.0,67.0,38.0,37.0,46.0,269.0,269.0
PB GREATER CHINA A-SHARES,46191.0,22.4,V. HIGH,27.34,78.06,20.99,5.63,,31.0,15.0,25.0,54.5,153.5,279.0,279.0
PB ASIA PACIFIC DIVIDEND,46191.0,12.7,HIGH,27.19,30.59,15.58,10.38,,32.0,47.0,40.5,11.0,153.5,284.0,284.0
PB GROWTH,46191.0,9.8,MOD,10.08,21.17,15.22,5.13,5.51,75.0,70.0,43.0,63.0,45.0,296.0,296.0
PUBLIC ISLAMIC TREASURES GROWTH,46191.0,11.8,MOD,26.56,31.62,11.83,3.2,5.73,33.0,44.0,67.0,110.0,42.0,296.0,296.0
PB GLOBAL EQUITY,46191.0,16,V. HIGH,17.96,23.93,12.79,3.52,8.51,47.0,62.0,61.0,103.0,24.0,297.0,297.0
PUBLIC ITTIKAL SEQUEL,46191.0,8.7,MOD,8.39,15.64,14.77,7.31,6.5,89.0,93.0,49.0,35.0,35.0,301.0,301.0
PUBLIC e-ISLAMIC SUSTAINABLE MILLENNIAL,46191.0,16.8,V. HIGH,12.95,29.7,16.47,12.47,,60.0,48.5,36.0,6.0,153.5,304.0,304.0
PUBLIC JAPAN GLOBAL EQUITY,46191.0,16,V. HIGH,24.86,32.14,15.15,7.46,,35.0,42.0,45.0,31.0,153.5,306.5,306.5
PUBLIC NAVIGATOR GROWTH,46191.0,17.3,V. HIGH,28.84,37.35,13.19,7.53,,30.0,34.0,60.0,30.0,153.5,307.5,307.5
PUBLIC ISLAMIC SAVINGS,46191.0,11,MOD,12.43,25.25,11.68,4.35,5.77,61.0,60.0,68.0,80.0,41.0,310.0,310.0
PB BALANCED SEQUEL,46191.0,9,MOD,11.89,16.48,11.32,6.4,5.43,63.0,88.0,71.0,45.0,49.0,316.0,316.0
PUBLIC ITTIKAL,46191.0,9.6,MOD,9.75,21.73,12.35,6.17,4.55,78.0,66.0,65.0,47.0,64.0,320.0,320.0
